"id","civilite","prenom","nom","naissance","profession","groupe","ncirco","circo","debut","duree","age","premiereElection"
"295","M.","François","Asensi","-775879200","Dessinateur industriel","GDR","11","Seine-Saint-Denis","1182290400","30.287885137","65","1981"
"2952","M.","Jean-Luc","Warsmann","-132368400","Sans profession","UMP","3","Ardennes","1182290400","15.7991787715","45","1995"
"2960","M.","Éric","Woerth","-439434000","Associé dans un cabinet d'audit international","UMP","4","Oise","1292281200","4.60136905215","54","2002"
"2964","M.","Gaël","Yanno","-268275600","Commissaire aux comptes","UMP","1","Nouvelle-Calédonie","1182290400","4.39614432023","49","2007"
"2971","Mme","Marie-Jo","Zimmermann","-589424400","Professeur certifié","UMP","3","Moselle","1182290400","13.7676934875","59","1998"
"303108","M.","Jean-Pierre","Marcon","-658285200","Cadre bancaire","UMP","1","Haute-Loire","1184882400","4.31400879661","61","2007"
"304016","Mme","Sandrine","Hurel","-44240400","Secrétaire de direction","SRC","11","Seine-Maritime","1182290400","4.39614432023","42","2007"
"309643","Mme","Véronique","Besse","-201747600",,"NI","4","Vendée","1182290400","6.79438753264","47","2005"
"312","M.","Jean","Auclair","-746845200","Agriculteur","UMP","2","Creuse","1182290400","18.4933380232","64","1993"
"320","Mme","Martine","Aurillac","-968202000","Attachée d'administration centrale ","UMP","3","Paris","1182290400","18.4112024996","71","1993"
"328","M.","Jean-Marc","Ayrault","-629082000","Professeur d'allemand","SRC","3","Loire-Atlantique","1182290400","25.428314067","60","1986"
"330008","M.","Xavier","Breton","-224125200","Cadre territorial","UMP","1","Ain","1182290400","4.39614432023","49","2007"
"330112","Mme","Isabelle","Vasseur","-338605200","Infirmière","UMP","5","Aisne","1182290400","4.39614432023","51","2007"
"330118","M.","Guy","Chambefort","-795747600","Retraité de l'enseignement","SRC","1","Allier","1182290400","4.39614432023","66","2007"
"330130","M.","Bernard","Lesterlin","-640227600","Administrateur civil","SRC","2","Allier","1182290400","4.39614432023","61","2007"
"330146","M.","Jean","Mallot","-548038800","Contrôleur général économique et financier","SRC","3","Allier","1182290400","4.39614432023","58","2007"
"330240","M.","Éric","Ciotti","-134442000",,"UMP","1","Alpes-Maritimes","1182290400","4.39614432023","45","2007"
"330357","M.","Olivier","Dussopt","272066400","Assistant parlementaire","SRC","2","Ardèche","1182290400","4.39614432023","32","2007"
"330546","Mme","Marie-Lou","Marcel","-516416400","Responsable Ressources Humaines en dispense d'activité","SRC","2","Aveyron","1182290400","4.39614432023","57","2007"
"330613","M.","Henri","Jibrayel","-577155600","Retraité des entreprises publiques","SRC","4","Bouches-du-Rhône","1182290400","4.39614432023","59","2007"
"330684","Mme","Valérie","Boyer","-238554000","Cadre du secteur hospitalier","UMP","8","Bouches-du-Rhône","1182290400","4.39614432023","48","2007"
"330788","M.","Bernard","Reynès","-511405200","Dentiste","UMP","15","Bouches-du-Rhône","1182290400","4.39614432023","57","2007"
"330909","M.","Vincent","Descoeur","-222570000","Professeur agrégé de biologie","UMP","1","Cantal","1182290400","4.39614432023","49","2007"
"330981","Mme","Martine","Pinville","-353206800","Retraitée de la fonction publique","SRC","4","Charente","1182290400","4.39614432023","52","2007"
"331014","Mme","Catherine","Quéré","-687834000"," Viticultrice","SRC","3","Charente-Maritime","1182290400","4.39614432023","62","2007"
"331146","M.","Sauveur","Gandolfi-Scheit","-724294800","Médecin","UMP","1","Haute-Corse","1182290400","4.39614432023","63","2007"
"331282","Mme","Corinne","Erhel","-91846800","Assistante parlementaire","SRC","5","Côtes-d'Armor","1182290400","4.39614432023","43","2007"
"331381","M.","Jacques","Grosperrin","-448419600","Professeur agrégé à l'Université","UMP","2","Doubs","1182290400","4.39614432023","55","2007"
"331442","M.","Franck","Reynier","-132541200","Informaticien","UMP","2","Drôme","1182290400","4.39614432023","45","2007"
"331567","Mme","Laure","de La Raudière","-154141200","Chef d'entreprise","UMP","3","Eure-et-Loir","1182290400","4.39614432023","45","2007"
"331582","M.","Philippe","Vigier","-375843600","Médecin","NC","4","Eure-et-Loir","1182290400","4.39614432023","52","2007"
"331594","M.","Jean-Jacques","Urvoas","-324608400","Maître de conférences","SRC","1","Finistère","1182290400","4.39614432023","51","2007"
"331658","Mme","Annick","Le Loch","-478400400","Commercant","SRC","7","Finistère","1182290400","4.39614432023","56","2007"
"331753","Mme","Catherine","Lemorton","-269312400","Pharmacien","SRC","1","Haute-Garonne","1182290400","4.39614432023","49","2007"
"331807","Mme","Martine","Martinel","-513306000","Enseignant","SRC","4","Haute-Garonne","1182290400","4.39614432023","57","2007"
"331835","Mme","Monique","Iborra","-783219600","Fonctionnaire de catégorie A","SRC","6","Haute-Garonne","1182290400","4.39614432023","65","2007"
"331924","Mme","Michèle","Delaunay","-725245200","Médecin des hôpitaux","SRC","2","Gironde","1182290400","4.39614432023","63","2007"
"331973","Mme","Pascale","Got","-276224400","Journaliste","SRC","5","Gironde","1182290400","4.39614432023","49","2007"
"331990","M.","Alain","Rousset","-595645200","Cadre supérieur (secteur privé)","SRC","7","Gironde","1182290400","4.39614432023","59","2007"
"332015","Mme","Martine","Faure","-670726800","Retraitée de l'enseignement","SRC","9","Gironde","1182290400","4.39614432023","62","2007"
"332154","M.","Gilles","d'Ettore","-50806800","Permanent politique","UMP","7","Hérault","1182290400","4.39614432023","42","2007"
"332206","M.","Jean-René","Marsac","-495421200","Cadre","SRC","4","Ille-et-Vilaine","1182290400","4.39614432023","56","2007"
"332228","M.","Thierry","Benoit","-104202000","Représentant de commerce","NC","6","Ille-et-Vilaine","1182290400","4.39614432023","44","2007"
"332305","M.","Jean-Patrick","Gille","-250131600","Chargé de mission auprès d'un conseil régional","SRC","1","Indre-et-Loire","1182290400","4.39614432023","48","2007"
"332364","Mme","Geneviève","Fioraso","-480560400","Cadre supérieur","SRC","1","Isère","1182290400","4.39614432023","56","2007"
"332384","M.","Michel","Issindou","-551408400","Cadre de la fonction publique","SRC","2","Isère","1182290400","4.39614432023","58","2007"
